anio,dataset,nombre_original,url_oficial,archivo_local,fecha_descarga,sha256,filas,columnas,granularidad,sectores_publicados,ambitos_publicados,identificador_territorial_fuente,filas_enmascarado,filas_sin_datos,diccionario,url_diccionario
2018,caracteristicas,2018 Caracteristicas - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EaVSwLOKtTZDlciTXjbO16wBL0dULYTmWaG2bxEk-kU66g?e=XQMjaa,data/raw/ra_historico/2018/caracteristicas.csv,2026-09-12,182f709892db04c799292aa3c9319e1958510340b22f75867db156fe4d75f49e,1200,65,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,67,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2018,matricula,2018 Matricula - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EbHmExT6G_BBhZbCyN5VgeEB7PzvN8TYJ1PDpIu6itH1kQ?e=Q4W9SV,data/raw/ra_historico/2018/matricula.csv,2026-09-12,e7b55a87fb193a33de5b2457650842756a5148aa0f3e1961be271a26cca0291c,1200,99,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,67,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2018,trayectoria,2018 Trayectoria - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EcDSXdE9wnZJmggiHVV7zyYBP2EIt1eojSB2qTbOLFioCA?e=H5b4vi,data/raw/ra_historico/2018/trayectoria.csv,2026-09-12,96c440c5a8a45f560c0607be2d98c0db5fd06daed24b149c129a5c95202e1f99,1190,268,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,66,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2019,caracteristicas,2019 Caracteristicas - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EZ0LA7Uovi9BpC-rtgGmm0YBuyg52WfiGaujTZ3DsviGpQ?e=8z7KSX,data/raw/ra_historico/2019/caracteristicas.csv,2026-09-12,131d1fe2cbd78ca1daef815d59f59fd50881802ad2d358c619cd4751f90d9f09,1202,65,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,67,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2019,matricula,2019 Matricula - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EViAJm34IVFGhMgqRXId_ToByPXa3QzPo00BVTQ3qxD7Lg?e=2tRz7x,data/raw/ra_historico/2019/matricula.csv,2026-09-12,22b7734aa9e9c106e0be3d9435eacd35f8075f41c110bd57d3c026e694929378,1202,99,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,67,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2019,trayectoria,2019 Trayectoria - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EXijBtL_28VEsgxlPgD_MSMBs6mvngsgxX5Yb0pRfZGs5w?e=UW0dLB,data/raw/ra_historico/2019/trayectoria.csv,2026-09-12,d987c0e95cd1d1069ca791272d5b80a3b7e1b3d749c1cdbe944977364bf7d256,1193,268,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,66,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2020,caracteristicas,2020 Caracteristicas - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EYkK93DoqVFCn3LsFMUiiOUBEogzmFI33nhRhyNHKBvsww?e=AAD50d,data/raw/ra_historico/2020/caracteristicas.csv,2026-09-12,552d4a357e7584aa5fb66ee3219e5bc102c8d561ec1a0cebd20ff0bf176191b1,1204,65,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,68,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2020,matricula,2020 Matricula - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EXGq4bAi8nZHnrbIc6ZOdI8BdXR6BGXh1_VZcRS12aPy_Q?e=u5mCtO,data/raw/ra_historico/2020/matricula.csv,2026-09-12,f1e14674a549adedae8a4b5fd4d36ff0c7f4a18b271b7da9e0652866fe9c4717,1204,99,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,68,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2020,trayectoria,2020 Trayectoria - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EfJPvNFb6OhOlNXTcFz1T4EBRMW4N6KNgNVQP6m9WLHSNg?e=ujDSnf,data/raw/ra_historico/2020/trayectoria.csv,2026-09-12,71a307744ed2ab39b8f7ebc5e5a47cc91a30929a63c456f8e656df5e8d46a8e0,1194,268,provincia-departamento-sector-ámbito,Estatal;Privado,Rural;Urbano,nombres de provincia y departamento; sin códigos,67,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
2021,caracteristicas,2021 Caracteristicas - agregada.csv,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EbOZeNJsVPJHshJD1bvrgb0B5I9S9zRrIOeqkOVFThz4hw?e=GiAa2T,data/raw/ra_historico/2021/caracteristicas.csv,2026-09-12,94b85fc6933bd100e4cd048cdc0c0ee1ee1930c7f02c781f550f064ed5e17156,1206,65,provincia-departamento-sector-ámbito,Estatal;Privado,;Rural;Urbano,nombres de provincia y departamento; sin códigos,68,0,Diccionario de bases RA anonimizadas.xlsx (común),https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETNQUApUc51BiLJLGAWuKtkB3PDw1t4QJZCX9d61_6D8-Q?e=hEkxgc
